Pop5_Original,Pop10_Original,Pop20_Original,Pop30_Original,Pop40_Original,
1325778,1215298,1302075,1434829,1366855,
1325778,1215298,1301762,1434829,1366855,
1325778,1215298,1301762,1434829,1366855,
1325778,1215298,1301762,1434829,1366855,
1321545,1214988,1301762,1434829,1366855,
1321545,1214988,1301762,1434829,1366855,
1321545,1214988,1301762,1431221,1366855,
1321545,1214988,1301762,1431221,1366855,
1321545,1214988,1301762,1431221,1364830,
1321545,1214988,1301762,1431221,1364830,
1321545,1214988,1301762,1431221,1357831,
1321545,1214988,1301762,1431221,1343683,
1321545,1214988,1301762,1431221,1343683,
1321545,1214988,1301762,1431221,1343683,
1321545,1214988,1301762,1431221,1343683,
1321545,1214988,1301762,1431221,1343683,
1321545,1214988,1301762,1431221,1343683,
1321545,1214988,1301762,1431221,1343683,
1321545,1214988,1301762,1431221,1343683,
1321545,1214988,1301762,1431221,1343683,
1321545,1214988,1301762,1431221,1343683,
1321230,1214988,1301762,1431221,1343683,
1321230,1209497,1301762,1431221,1343683,
1320340,1209497,1301762,1431221,1343683,
1320340,1209249,1301762,1430429,1343683,
1320340,1209249,1301762,1430429,1343683,
1320025,1205087,1301762,1430264,1343683,
1320025,1202121,1301762,1430264,1343683,
1319603,1202121,1301762,1430264,1343683,
1319603,1202121,1301762,1430264,1343312,
1319603,1202121,1301762,1430264,1343312,
1319603,1202121,1301762,1430264,1343312,
1319603,1200119,1301762,1430264,1341790,
1319603,1199263,1301762,1430264,1341790,
1319603,1199263,1301762,1430264,1339339,
1319603,1197955,1301762,1430264,1339339,
1319603,1195053,1301762,1427771,1339339,
1311992,1195053,1301762,1427771,1339339,
1311992,1192164,1301762,1427771,1338448,
1311980,1175837,1301762,1427771,1338448,
1301095,1175837,1298585,1427771,1338448,
1301095,1175837,1298585,1427771,1338448,
1300362,1175837,1295780,1427771,1338448,
1299084,1175837,1295780,1427771,1338448,
1299084,1175837,1295780,1427771,1338448,
1299084,1175837,1295780,1427771,1338448,
1299084,1175837,1295780,1427771,1330014,
1299084,1175837,1295780,1427771,1330014,
1298104,1175837,1295780,1427771,1330014,
1295077,1175837,1295780,1427771,1330014,
1295077,1175837,1295780,1427771,1330014,
1295077,1175837,1281996,1427771,1330014,
1295077,1175837,1281996,1427771,1330014,
1285887,1175837,1281996,1427771,1330014,
1285887,1175837,1281996,1427771,1330014,
1285058,1175837,1281996,1427771,1330014,
1285058,1175837,1281996,1427771,1330014,
1285058,1175739,1281996,1427771,1330014,
1285058,1175739,1281996,1427771,1330014,
1273321,1171810,1281996,1427771,1330014,
1273321,1171810,1281996,1427771,1330014,
1273321,1171810,1281996,1427771,1330014,
1273321,1171810,1281996,1427771,1330014,
1273321,1171810,1281996,1406218,1330014,
1273321,1171810,1281996,1406218,1330014,
1271372,1171810,1281996,1406218,1330014,
1271372,1171810,1281996,1406218,1330014,
1271372,1171810,1281996,1405511,1330014,
1271372,1168104,1281996,1404208,1330014,
1271372,1168104,1281996,1404208,1330014,
1271372,1168104,1281996,1404208,1330014,
1271372,1168104,1281996,1404208,1330014,
1269626,1168104,1281996,1404208,1330014,
1269106,1168104,1281996,1404208,1330014,
1269106,1168104,1281996,1404208,1330014,
1269106,1164624,1281996,1404208,1330014,
1269106,1164624,1281996,1402326,1330014,
1269106,1164624,1281996,1402326,1330014,
1269106,1164624,1281996,1402326,1330014,
1269106,1164624,1281996,1402326,1330014,
1269106,1164624,1281079,1402326,1330014,
1269106,1164624,1281079,1402326,1330014,
1269106,1164624,1281079,1399559,1330014,
1269106,1164624,1281079,1399559,1330014,
1269106,1164624,1281079,1395761,1330014,
1269106,1164624,1281079,1395761,1330014,
1269106,1164624,1281079,1395761,1330014,
1269106,1164624,1281079,1395761,1330014,
1269106,1164624,1281079,1395282,1330014,
1269106,1164624,1281079,1395282,1330014,
1269106,1164624,1281079,1395282,1330014,
1269106,1164624,1281079,1395282,1330014,
1269106,1164624,1278333,1392057,1330014,
1269106,1161798,1278333,1392057,1330014,
1269106,1161798,1278333,1392057,1330014,
1269106,1161798,1278333,1392057,1330014,
1269106,1161798,1278333,1392057,1330014,
1269106,1161798,1278333,1392057,1330014,
1269106,1161798,1278333,1392057,1330014,
1261755,1161798,1278333,1383517,1330014,
1261755,1161798,1278333,1383517,1325768,
1261755,1161798,1278333,1383517,1325768,
1261755,1161798,1278333,1383517,1325768,
1261755,1161798,1278333,1383517,1325768,
1260607,1161798,1278333,1383517,1325768,
1260607,1161798,1278333,1383517,1325768,
1260607,1161798,1278333,1383517,1325768,
1260607,1161798,1278333,1383517,1325768,
1260607,1161798,1278333,1383517,1325768,
1260607,1161798,1270564,1383517,1325768,
1259438,1159994,1270564,1383517,1325768,
1259438,1159994,1270543,1383517,1325768,
1259438,1159994,1270035,1383517,1325768,
1259438,1159994,1270035,1383517,1325768,
1259438,1159994,1270035,1383517,1325768,
1259438,1159994,1270035,1383517,1325768,
1259438,1159994,1270035,1383517,1325768,
1259438,1157630,1270035,1383517,1325768,
1259438,1157630,1269460,1383517,1325768,
1259438,1154269,1267237,1383517,1325768,
1259438,1154269,1266397,1383517,1325768,
